order,indices,coefficient
0,,0.498434747333655
1,602,-6.110769958832373E-4
1,499,6.045561641808511E-4
1,708,-5.773947062669289E-4
1,22,5.400138930211443E-4
1,648,5.353126596013396E-4
1,55,5.175323213237162E-4
1,852,-4.923841068361136E-4
1,249,4.915670079458934E-4
1,610,-4.906755854693335E-4
1,700,-4.8548817579734116E-4
1,775,-4.8508573965715547E-4
1,493,-4.766448235669686E-4
1,841,4.74203029087087E-4
1,512,4.712889163649137E-4
1,584,-4.6853992565976354E-4
1,347,-4.671662151924133E-4
1,309,4.641060243605778E-4
1,220,4.623205230741458E-4
1,76,4.574992887926013E-4
1,858,-4.534643953519242E-4
1,100,4.4226355448231887E-4
1,793,4.3029938146215655E-4
1,426,-4.232967721406287E-4
1,632,-4.204419557014483E-4
1,730,4.171352195053771E-4
1,135,-4.1708703769404717E-4
1,514,-4.145903302890288E-4
1,762,-3.9376047515689294E-4
1,178,-3.906045923423765E-4
1,291,3.870152295257299E-4
1,646,3.8539473585337216E-4
1,477,-3.823634102461092E-4
1,769,3.788847390510559E-4
1,138,-3.782065554086831E-4
1,901,3.7683997783727395E-4
1,738,3.746756634696292E-4
1,613,3.6981042490013064E-4
1,547,3.68568251888305E-4
1,684,3.685167486610758E-4
1,193,-3.682120538196006E-4
1,365,-3.6722516544573024E-4
1,896,3.6428186506381647E-4
1,788,3.641012067588819E-4
1,335,-3.611312431189119E-4
1,560,3.576470484887385E-4
1,959,3.575814351758762E-4
1,223,-3.5688644848824583E-4
1,258,-3.5389685041620715E-4
1,987,-3.5353907049975533E-4
1,922,3.511523366022178E-4
1,894,3.510185738304597E-4
1,921,-3.504653254034482E-4
1,923,-3.4835826715711295E-4
1,20,3.4658764628257973E-4
1,883,-3.46080697533543E-4
1,506,-3.4558027831518146E-4
1,953,-3.426312054692743E-4
1,993,-3.41156853210319E-4
1,263,-3.3721922144116156E-4
1,551,3.3332150262456656E-4
1,807,3.325601931545087E-4
1,380,-3.31665246696495E-4
1,120,3.300219585691342E-4
1,651,3.2911333822789157E-4
1,422,3.2676408948365655E-4
1,210,3.2623517042097125E-4
1,625,-3.2427412072686404E-4
1,320,-3.227076115016571E-4
1,895,-3.210897670193991E-4
1,640,-3.2023432441875713E-4
1,721,3.20040368911619E-4
1,832,-3.195420395706659E-4
1,70,-3.175817811179651E-4
1,284,3.173745238043497E-4
1,978,3.1603614321124056E-4
1,637,3.14661192673507E-4
1,835,-3.115266882779537E-4
1,252,3.100266010504468E-4
1,366,3.032806890050302E-4
1,470,3.0273706547960934E-4
1,711,3.0268785511855924E-4
1,315,-3.011819778235535E-4
1,283,-3.010977848348593E-4
1,438,-3.0045180116097933E-4
1,917,-2.9964148153525705E-4
1,989,-2.9833122280575306E-4
1,746,-2.976144236242003E-4
1,596,-2.955010057144004E-4
1,994,2.943636464681862E-4
1,890,2.94119341269235E-4
1,671,2.937425253868741E-4
1,290,-2.9364572971544837E-4
1,979,2.931676157302681E-4
1,16,2.9308633310400675E-4
1,819,-2.930749088304978E-4
1,122,-2.9168315950608563E-4
1,439,-2.9167322463421997E-4
1,271,-2.910149402981059E-4
1,608,2.87834827603699E-4
1,462,-2.873707650676656E-4
1,224,2.872664488516457E-4
1,383,2.848226105605434E-4
1,431,-2.8364920172841215E-4
1,792,2.834394306409772E-4
1,43,-2.8278289569812546E-4
1,350,2.819165692107936E-4
1,946,-2.8161329952208937E-4
1,783,2.807229673115868E-4
1,554,2.801381973520286E-4
1,754,-2.794549327919512E-4
1,737,-2.790917571398707E-4
1,712,2.781634860395151E-4
1,410,-2.7800989103025556E-4
1,627,2.777525143309066E-4
1,609,-2.765347521425186E-4
1,190,-2.7612490362859544E-4
1,161,2.757932757688309E-4
1,686,2.751551258401035E-4
1,425,2.751111495188966E-4
1,182,-2.7487796940150945E-4
1,211,-2.7453962415361765E-4
1,475,-2.7362980340306E-4
1,772,2.7260263852289167E-4
1,753,2.72284762565416E-4
1,828,-2.713387195060408E-4
1,531,2.683262164675965E-4
1,15,2.6699638399287887E-4
1,855,-2.6417714221816903E-4
1,240,2.632528253915038E-4
1,362,2.6091193851163376E-4
1,163,2.597982063545383E-4
1,756,2.5948060748663785E-4
1,409,-2.59377778925075E-4
1,931,2.592438535031757E-4
1,170,2.5819850783238493E-4
1,79,2.575238098530795E-4
1,313,-2.5706284335180214E-4
1,377,-2.5702820393147817E-4
1,285,2.5627321075772047E-4
1,556,2.553281853822085E-4
1,400,-2.552814475171351E-4
1,381,-2.5508558146704845E-4
1,81,-2.535735697646599E-4
1,72,-2.5284741458188076E-4
1,86,2.5270429970822484E-4
1,795,2.5095110481203456E-4
1,401,-2.500918495698844E-4
1,732,2.49529779552583E-4
1,760,-2.4925248583871604E-4
1,489,2.48057933097971E-4
1,11,-2.4768899763062414E-4
1,419,2.471581238284882E-4
1,926,-2.4522512062800434E-4
1,904,2.451252223378649E-4
1,9,-2.4378263781587968E-4
1,441,-2.4246006944191184E-4
1,298,-2.423614080923914E-4
1,726,2.4150482360714299E-4
1,40,-2.4136745669982635E-4
1,60,-2.412391953000626E-4
1,526,-2.4087506845023494E-4
1,658,-2.4031743161529912E-4
1,713,-2.4021212541935926E-4
1,497,2.3868024320774202E-4
1,205,-2.3815461575481535E-4
1,207,-2.3797771003382934E-4
1,302,2.3735935637536848E-4
1,502,2.3581114439899482E-4
1,982,2.351442188326428E-4
1,217,2.3508981829448055E-4
1,623,2.344962947959809E-4
1,416,-2.3394187529729844E-4
1,536,2.330512545227659E-4
1,336,2.3287973578699957E-4
1,487,2.3199662499269488E-4
1,938,-2.2909975726236566E-4
1,331,2.284079202891485E-4
1,825,-2.2742896827531356E-4
1,719,2.2730718197747952E-4
1,666,-2.2692450178660547E-4
1,950,2.259855675108535E-4
1,634,-2.257194699169732E-4
1,654,2.2525884889657688E-4
1,492,2.244987099886966E-4
1,692,-2.2370099877620022E-4
1,102,-2.2214202223217925E-4
1,578,2.2129350438965064E-4
1,300,-2.2096720023342647E-4
1,697,2.2033473964361855E-4
1,740,-2.2024143790798739E-4
1,442,2.2010327344346059E-4
1,446,-2.1959706496034643E-4
1,888,2.1937129767285503E-4
1,233,-2.192829629634272E-4
1,582,-2.188050843017832E-4
1,533,2.1861230363446772E-4
1,104,2.1810230227715417E-4
1,909,2.171093138727459E-4
1,345,2.168442770327881E-4
1,486,-2.1567206367789394E-4
1,594,-2.1557462771370033E-4
1,748,2.1524611007845088E-4
1,742,-2.1522794192299893E-4
1,411,-2.1514347493347433E-4
1,571,-2.1397295070530752E-4
1,84,-2.138316126454255E-4
1,580,-2.137589257199731E-4
1,239,-2.121988614496122E-4
1,614,-2.0936561885865937E-4
1,966,-2.088579581739292E-4
1,884,2.088458358567611E-4
1,734,2.0876939756525565E-4
1,311,2.0867551538133702E-4
1,920,-2.0769727545631194E-4
1,698,-2.0740889141170356E-4
1,33,2.073856553147705E-4
1,703,2.0506013858631405E-4
1,250,2.0433368724857815E-4
1,727,-2.042994331193125E-4
1,844,-2.0425158846468678E-4
1,478,-2.0398612586645853E-4
1,5,2.0382292540942621E-4
1,460,-2.0378178642225047E-4
1,699,-2.0342227405977897E-4
1,85,2.0325778606135808E-4
1,97,-2.0308678733636608E-4
1,437,2.026576323120086E-4
1,113,2.0254208720514423E-4
1,875,2.0241806086483148E-4
1,181,-2.0233925195170863E-4
1,709,2.0060341609686062E-4
1,92,-2.0047473733316657E-4
1,970,1.9966661442903866E-4
1,455,1.9953562145753241E-4
1,112,-1.9927730204437411E-4
1,204,1.9829597776906032E-4
1,26,-1.9819665834470935E-4
1,861,1.9684623950727714E-4
1,407,-1.95781416252878E-4
1,0,-1.955007746061823E-4
1,575,-1.9533596371791055E-4
1,968,1.9510460850539276E-4
1,606,1.946536409396958E-4
1,766,1.9324726742903504E-4
1,174,1.927739774848239E-4
1,458,-1.9251836124594736E-4
1,954,-1.924198625154073E-4
1,173,1.9230759691779242E-4
1,680,1.9199321883154225E-4
1,641,-1.915810616254699E-4
1,810,-1.9120090714200923E-4
1,357,-1.906268212719797E-4
1,264,1.8999412639718067E-4
1,326,1.8965275041994911E-4
1,296,-1.8936242781299867E-4
1,927,1.892988084072575E-4
1,337,-1.8906248284967736E-4
1,991,-1.8881967976046405E-4
1,696,1.8766969017628804E-4
1,165,1.8729715689203702E-4
1,910,1.8721323361688925E-4
1,527,-1.8711918948698098E-4
1,126,-1.8698717242521197E-4
1,880,-1.8658643247913053E-4
1,180,-1.8623971958985373E-4
1,724,-1.8530687206755515E-4
1,67,1.8469596676526479E-4
1,367,1.8469290494537647E-4
1,592,1.8408978929864326E-4
1,480,1.8286525165620845E-4
1,246,-1.8277711432737465E-4
1,428,-1.8216936280190688E-4
1,332,-1.81996376179845E-4
1,270,-1.8157427390811886E-4
1,669,1.813702382566622E-4
1,227,-1.810876621570542E-4
1,853,-1.8013332376893554E-4
1,517,1.7998097778479052E-4
1,396,1.799547092696781E-4
1,358,1.799082717866635E-4
1,47,1.7979391699364527E-4
1,421,1.7923867622161036E-4
1,200,1.7912302377210253E-4
1,73,1.7849461295277094E-4
1,342,1.7837162946294515E-4
1,941,1.7738756440054061E-4
1,827,1.7699389059430598E-4
1,675,1.7480070322974423E-4
1,359,1.746970489080904E-4
1,370,-1.7452667334430765E-4
1,735,-1.7440535893151017E-4
1,604,1.7422998437844977E-4
1,971,1.738996374001729E-4
1,842,1.7385483076090436E-4
1,885,1.730217407398444E-4
1,644,1.7229037635569533E-4
1,164,1.7210662513767163E-4
1,736,-1.713400112939592E-4
1,865,1.7131713663713258E-4
1,843,1.7109458189990546E-4
1,82,-1.7084737350109598E-4
1,394,-1.7082845448636376E-4
1,301,1.707415825686387E-4
1,908,1.7068884876351163E-4
1,714,1.7045584243932047E-4
1,353,-1.6988972614827042E-4
1,356,1.6981381062828864E-4
1,58,1.6966843985601304E-4
1,121,1.6875302484121025E-4
1,243,1.6862561688688572E-4
1,321,1.68254870618698E-4
1,316,-1.6818722521161073E-4
1,50,1.680006732509608E-4
1,720,-1.673767231814859E-4
1,705,1.6726737019696225E-4
1,619,-1.6671924761219587E-4
1,32,1.660876980306963E-4
1,664,1.660128990650132E-4
1,589,-1.6546331861207802E-4
1,967,-1.6484736024327304E-4
1,244,1.6432082737032072E-4
1,71,1.637830936075121E-4
1,638,-1.6319591345425512E-4
1,64,1.6296371863637991E-4
1,395,-1.6289706437676145E-4
1,145,-1.627917318493044E-4
1,118,-1.6264637900520232E-4
1,876,-1.621908093119523E-4
1,928,1.6179870913623462E-4
1,413,1.613570698415827E-4
1,764,1.609177226027323E-4
1,818,1.6065530831056997E-4
1,364,1.5991705294094845E-4
1,229,1.5933612802138532E-4
1,35,1.5926382853124064E-4
1,69,-1.5899231894611992E-4
1,574,-1.5894195222743092E-4
1,620,-1.5889424773382795E-4
1,162,-1.58116943147955E-4
1,80,1.5768279756303967E-4
1,747,-1.5694283435206398E-4
1,496,1.56807945929674E-4
1,450,-1.5661743718682267E-4
1,665,1.563503514447885E-4
1,201,-1.557788998399401E-4
1,105,1.5570112531892495E-4
1,945,-1.5504676391170285E-4
1,279,-1.5502741438137846E-4
1,677,1.5493441026580824E-4
1,14,-1.5442398237378268E-4
1,845,-1.5422456097287197E-4
1,749,-1.5398972744484743E-4
1,849,1.539809829366743E-4
1,444,1.5391437091087195E-4
1,936,-1.537706901450907E-4
1,186,-1.5346122427072536E-4
1,198,-1.5341283606933848E-4
1,385,-1.526260002271597E-4
1,780,-1.5121124724518735E-4
1,949,-1.5117517681606605E-4
1,984,1.506929917090844E-4
1,52,-1.5048668866623913E-4
1,590,-1.50047494083724E-4
1,278,1.498081915156244E-4
1,265,1.4976567162056103E-4
1,195,-1.4961709548739281E-4
1,260,-1.495081214964099E-4
1,914,1.4946884359289976E-4
1,568,1.4943648153228846E-4
1,44,1.4940735593714773E-4
1,601,1.4779926307503338E-4
1,448,-1.4774202184154428E-4
1,600,-1.4755361605877276E-4
1,154,1.472006797344931E-4
1,277,-1.4715428796238233E-4
1,251,1.4684236223113327E-4
1,588,1.4630432128959425E-4
1,682,1.4523741068890727E-4
1,957,1.4522822165636987E-4
1,142,1.4458275568154962E-4
1,587,1.441267623223222E-4
1,150,-1.4386605952875907E-4
1,65,-1.437364015562595E-4
1,728,-1.4332140950206653E-4
1,718,-1.4262195026594346E-4
1,773,-1.422182890338562E-4
1,882,-1.4186897356462653E-4
1,463,-1.4146797073226204E-4
1,148,-1.4107215689731245E-4
1,329,1.4090803830394305E-4
1,328,1.4069288986853445E-4
1,449,1.406162737546645E-4
1,360,-1.404702133076084E-4
1,74,-1.4039203658020694E-4
1,500,-1.4029118783839945E-4
1,445,-1.399839491017488E-4
1,191,1.3934215944541313E-4
1,616,-1.390791229928637E-4
1,913,1.3864925257144452E-4
1,636,1.381950986679922E-4
1,817,1.3816846786337828E-4
1,937,-1.3816573435479566E-4
1,453,-1.376421012787017E-4
1,839,-1.3733384495940215E-4
1,803,-1.3663346710466324E-4
1,549,-1.3657996916294487E-4
1,466,-1.3630569402681923E-4
1,546,-1.3583192821575013E-4
1,874,-1.35831745471033E-4
1,57,-1.356736741326154E-4
1,577,-1.3564944814895024E-4
