order,indices,coefficient
0,,0.4996260465759335
1,463,5.243632940556413E-4
1,96,4.62775628770443E-4
1,693,-4.592100223980881E-4
1,325,-4.563874895014076E-4
1,535,-4.482929839733917E-4
1,901,-4.363476715162768E-4
1,577,4.2874824649823844E-4
1,38,4.2321566111193186E-4
1,431,-4.15855542470568E-4
1,683,-4.062505945208277E-4
1,407,3.9306878607111217E-4
1,268,3.911802664560862E-4
1,153,3.9087026821771256E-4
1,252,-3.833845185261268E-4
1,919,-3.831749760721569E-4
1,165,3.7791150263903806E-4
1,943,-3.7238836999540077E-4
1,380,3.6849931423876207E-4
1,507,-3.6493966282509944E-4
1,496,-3.6461849577017197E-4
1,292,-3.625034956002828E-4
1,916,3.6108803903809906E-4
1,313,-3.588593616144812E-4
1,998,3.57208663184182E-4
1,645,3.559075196585446E-4
1,794,-3.530635146164928E-4
1,640,-3.529980360956989E-4
1,560,3.485240542289214E-4
1,634,-3.4427779525613393E-4
1,232,-3.4375481727298176E-4
1,611,3.41358740562904E-4
1,515,-3.41330886939682E-4
1,983,-3.3949308617787566E-4
1,788,-3.342689836550804E-4
1,658,3.2957609714440997E-4
1,125,-3.1796546745913967E-4
1,558,-3.1653579320864585E-4
1,59,3.164544854685775E-4
1,787,-3.1401474843029874E-4
1,121,-3.077693107946873E-4
1,302,3.058199248327154E-4
1,747,-3.053760991855522E-4
1,330,3.048344953344429E-4
1,917,-3.01575632675776E-4
1,977,-3.0077655309547447E-4
1,841,-3.005955911400663E-4
1,732,2.9903677345379946E-4
1,454,-2.9693603613039824E-4
1,690,2.9287016855411953E-4
1,493,2.918758964177944E-4
1,62,2.9091029605834984E-4
1,248,2.8339405398918483E-4
1,526,2.8201949819097464E-4
1,433,-2.79254003261919E-4
1,926,2.7818993749124086E-4
1,171,2.707701739654027E-4
1,513,2.7035235330253373E-4
1,263,-2.7014403442522113E-4
1,185,2.680484465840018E-4
1,192,-2.677566120411543E-4
1,281,-2.644514006918147E-4
1,420,2.6391019431860625E-4
1,167,2.637842442835058E-4
1,978,-2.6289716772591286E-4
1,348,-2.6042343883217115E-4
1,162,2.601975762094033E-4
1,870,2.600144948676654E-4
1,40,-2.579972730990724E-4
1,19,2.5655569712742843E-4
1,89,2.554405148454836E-4
1,115,-2.539477513970414E-4
1,211,-2.5336137924036374E-4
1,861,2.527850933227167E-4
1,76,-2.5227601224071745E-4
1,323,-2.4971478670915437E-4
1,856,2.4911542733447873E-4
1,376,-2.475796126439923E-4
1,401,2.474010498241273E-4
1,889,-2.472279078221071E-4
1,147,2.459627146796231E-4
1,335,2.454902090432177E-4
1,697,-2.454685636483759E-4
1,12,2.446010828345887E-4
1,363,2.4352743333997382E-4
1,606,-2.432460630968675E-4
1,160,2.423937873109628E-4
1,767,-2.4224668828882657E-4
1,654,-2.4092417306371044E-4
1,580,2.406518799534237E-4
1,394,2.3937197393984844E-4
1,838,-2.381689466622301E-4
1,614,2.3757862413566384E-4
1,670,2.3440618309218501E-4
1,169,-2.331035981603465E-4
1,896,2.320210595811417E-4
1,748,2.3165629244556042E-4
1,621,2.311514776651837E-4
1,139,-2.3005004138048683E-4
1,657,-2.2844842499152702E-4
1,883,-2.2817291490187115E-4
1,570,-2.2813727356305546E-4
1,474,-2.280482966124412E-4
1,973,-2.2670246752874108E-4
1,569,-2.2569749643153666E-4
1,466,2.254674213776308E-4
1,92,2.2264446923650567E-4
1,94,-2.2241276426371886E-4
1,540,-2.220619514098747E-4
1,340,-2.2142369346836942E-4
1,971,2.2121485345997802E-4
1,374,2.207638615456354E-4
1,291,-2.1766185399528688E-4
1,539,2.1729596074604668E-4
1,341,-2.168691710012503E-4
1,908,2.1645722701426172E-4
1,906,-2.157387263795461E-4
1,907,2.142138662262318E-4
1,531,2.1382813093008E-4
1,360,2.1320722413640543E-4
1,370,2.120630439616504E-4
1,635,-2.1152235292278614E-4
1,15,2.1107520141679326E-4
1,533,-2.1101513582604843E-4
1,521,-2.1097831345924433E-4
1,644,2.1074432449376602E-4
1,722,-2.1047938366948707E-4
1,467,-2.1018652620347523E-4
1,682,2.1013983165000256E-4
1,687,2.1001983251712236E-4
1,673,-2.097572516291536E-4
1,885,-2.095199062202014E-4
1,163,-2.0944330662661081E-4
1,715,-2.0855607089677262E-4
1,43,-2.082735459169335E-4
1,790,2.0744895375652308E-4
1,440,2.0741831747731975E-4
1,494,2.0663475785466054E-4
1,142,2.0526779100569478E-4
1,88,2.051739227880769E-4
1,114,2.0478752039716877E-4
1,900,2.0477842472952257E-4
1,347,2.045485993784833E-4
1,371,2.0426437704967515E-4
1,866,-2.0421364297374816E-4
1,602,-2.0294893963892396E-4
